task_id,name,type,criticality,exec_time,actual_duration,deadline,release_time,mem_io_penalty,data_ready_cycle,wait_cycles,slack_time,cluster_id,assigned_chiplet,assigned_core,replica_core,start_cycle,finish_cycle,state
53,rng_stream_52,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,480,4,2,-1,531,831,COMPLETED
54,rng_stream_53,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,431,4,3,-1,531,831,COMPLETED
55,rng_stream_54,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,386,1,0,-1,531,831,COMPLETED
56,rng_stream_55,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,931,-1,343,0,0,-1,1131,1431,COMPLETED
57,rng_stream_56,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,631,-1,297,3,2,-1,831,1131,COMPLETED
58,rng_stream_57,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,931,-1,259,0,1,-1,1131,1431,COMPLETED
59,rng_stream_58,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,631,-1,212,2,0,-1,831,1131,COMPLETED
60,rng_stream_59,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,631,-1,166,5,1,-1,831,1131,COMPLETED
61,rng_stream_60,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,631,-1,123,4,0,-1,831,1131,COMPLETED
62,rng_stream_61,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,631,-1,81,4,1,-1,831,1131,COMPLETED
63,rng_stream_62,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,41,6,3,-1,231,531,COMPLETED
64,rng_stream_63,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,931,-1,0,0,2,-1,1131,1431,COMPLETED
65,price_opt0_path0,COMPUTE_HEAVY,HIGH,3087,3087,100000,0,0,565,300,-1,2888,4,2,-1,831,3918,COMPLETED
66,price_opt0_path1,COMPUTE_HEAVY,HIGH,2557,2557,100000,0,0,563,4647,-1,2835,0,2,-1,5178,7735,COMPLETED
67,price_opt0_path2,COMPUTE_HEAVY,HIGH,2849,2849,100000,0,0,564,14328,-1,2789,3,2,-1,14859,17708,COMPLETED
68,price_opt0_path3,COMPUTE_HEAVY,HIGH,3690,3690,100000,0,0,561,22695,-1,3177,4,1,-1,23226,26916,COMPLETED
69,price_opt0_path4,COMPUTE_HEAVY,HIGH,2009,2009,100000,0,0,561,26137,-1,3174,6,1,-1,26668,28677,COMPLETED
