cluster_id,type,task_count,total_exec_cost,total_comm_volume,avg_affinity,max_criticality,primary_chiplet,spill_count
76,COMM_HEAVY,4,26020,1342,0.7896,MEDIUM,6,0
77,COMM_HEAVY,4,24714,1348,0.7927,MEDIUM,0,0
78,COMM_HEAVY,4,23980,1264,0.7622,MEDIUM,1,0
79,COMM_HEAVY,4,19085,1157,0.7122,MEDIUM,2,0
80,COMM_HEAVY,4,11347,1278,0.6507,MEDIUM,3,0
81,COMM_HEAVY,4,14422,1366,0.6458,MEDIUM,4,0
82,COMM_HEAVY,4,28174,1262,0.8129,MEDIUM,5,0
83,COMM_HEAVY,4,22262,1319,0.7414,MEDIUM,6,0
84,COMM_HEAVY,4,15993,1396,0.7157,MEDIUM,0,0
85,COMM_HEAVY,4,10488,1262,0.6403,MEDIUM,1,0
86,COMM_HEAVY,4,21145,1393,0.7851,MEDIUM,2,0
87,COMM_HEAVY,4,29411,1074,0.6939,MEDIUM,3,0
88,COMM_HEAVY,4,14845,1474,0.7688,MEDIUM,4,0
89,COMM_HEAVY,4,27935,1039,0.6899,MEDIUM,5,0
90,COMM_HEAVY,4,19248,1229,0.6482,MEDIUM,6,0
91,COMM_HEAVY,4,30619,1171,0.7680,MEDIUM,0,0
92,COMM_HEAVY,4,18398,1305,0.7251,MEDIUM,1,0
93,COMM_HEAVY,4,23892,1327,0.8021,MEDIUM,2,0
94,COMM_HEAVY,4,23614,1258,0.7328,MEDIUM,3,0
95,COMM_HEAVY,4,22994,1217,0.7472,MEDIUM,4,0
96,COMM_HEAVY,4,23266,1332,0.8091,MEDIUM,5,0
97,COMM_HEAVY,4,23344,1385,0.8024,MEDIUM,6,0
98,COMM_HEAVY,4,28303,958,0.6490,MEDIUM,0,0
99,COMM_HEAVY,4,25231,1352,0.8023,MEDIUM,1,0
100,COMM_HEAVY,4,29945,1214,0.7873,MEDIUM,2,0
101,COMM_HEAVY,2,12046,365,0.6797,MEDIUM,3,0
102,COMM_HEAVY,4,29792,1082,0.7266,MEDIUM,4,0
103,COMM_HEAVY,1,3333,0,0.0000,MEDIUM,5,0
104,COMM_HEAVY,4,24696,1227,0.7099,MEDIUM,6,0
105,COMM_HEAVY,4,22544,1240,0.7680,MEDIUM,0,0
106,COMM_HEAVY,4,19164,1344,0.7335,MEDIUM,1,0
107,COMM_HEAVY,4,25261,1171,0.6885,MEDIUM,2,0
108,COMM_HEAVY,4,21192,1179,0.7246,MEDIUM,3,0
109,COMM_HEAVY,1,4905,0,0.0000,MEDIUM,4,0
110,COMM_HEAVY,4,15144,1243,0.7198,MEDIUM,5,0
111,COMM_HEAVY,4,14040,1108,0.6576,MEDIUM,6,0
112,COMM_HEAVY,4,19218,1383,0.7406,MEDIUM,0,0
113,COMM_HEAVY,4,21473,1203,0.7087,MEDIUM,1,0
114,COMM_HEAVY,4,22911,1229,0.7320,MEDIUM,2,0
115,COMM_HEAVY,4,29996,1165,0.7474,MEDIUM,3,0
116,COMM_HEAVY,1,5433,0,0.0000,MEDIUM,4,0
117,COMM_HEAVY,4,20945,1124,0.7064,MEDIUM,5,0
118,COMM_HEAVY,4,23929,1367,0.8323,MEDIUM,6,0
119,COMM_HEAVY,4,23702,1319,0.7703,MEDIUM,0,0
120,COMM_HEAVY,4,24533,1144,0.7239,MEDIUM,1,0
121,COMM_HEAVY,4,24941,1207,0.7286,MEDIUM,2,0
122,COMM_HEAVY,4,22536,1342,0.7939,MEDIUM,3,0
123,COMM_HEAVY,4,21299,1381,0.7680,MEDIUM,4,0
124,COMM_HEAVY,4,23008,1234,0.7306,MEDIUM,5,0
125,COMM_HEAVY,1,4223,0,0.0000,MEDIUM,6,0
126,COMM_HEAVY,4,12282,1246,0.6481,MEDIUM,0,0
127,COMM_HEAVY,1,8918,0,0.0000,MEDIUM,1,0
128,COMM_HEAVY,4,28408,1147,0.7606,MEDIUM,2,0
129,COMM_HEAVY,4,23415,1293,0.7645,MEDIUM,3,0
130,COMM_HEAVY,4,27140,1259,0.7964,MEDIUM,4,0
